image_id,method,extracted_text,processing_time
printed_003_blur,EasyOCR,Intadalan conton Kalimat pertama untuk penquan OCR,2.7498
printed_003_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.515
printed_003_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5555
printed_003_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,3.0527
printed_003_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4165
printed_003_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4165
printed_003_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.716
printed_003_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4314
printed_003_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4092
printed_003_rotated,EasyOCR,kalimat pertama Ini adalah OCR. pengujian untuk contoh,2.8742
printed_003_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5998
printed_004_blur,Tesseract,Oy aan COMO Makna pertama wha pergunan 0.,0.4789
printed_004_blur,EasyOCR,Ooh,2.3633
printed_004_blur,PaddleOCR,ini adaiah conton kalimat pertama untuk pengujian OCR,0.407
printed_004_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.514
printed_004_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5266
printed_004_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4954
printed_004_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5166
printed_004_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.6448
printed_004_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6068
printed_004_rotated,Tesseract,Ini adatan contoh kalimat pertama untuk pengujian OCR.,0.5141
printed_004_rotated,EasyOCR,untuk adalah kalimat OCR pengujian pertamna contoh,2.598
printed_004_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4829
printed_005_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.5876
printed_005_blur,EasyOCR,Inlodalah contoh Kallmat portama untuk ponoullan OCR,2.5424
printed_005_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6304
printed_005_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6216
printed_005_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.6042
printed_005_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4154
printed_005_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5701
printed_005_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.3051
printed_005_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.516
printed_005_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4403
printed_005_rotated,EasyOCR,untuk Ini adalah contoh kalimat OCR pengujian pertama,2.6366
printed_005_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5691
printed_006_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.3915
printed_006_blur,EasyOCR,IolOalsl (ooioa Aahuoi Petioue Origap rerile Oek,2.4298
printed_006_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5484
printed_006_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.2964
printed_006_dark,EasyOCR,Ini adalah contob kalimat pertama untuk pengujian OCR _,2.4866
printed_006_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5037
printed_006_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3399
printed_006_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.6284
printed_006_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.7805
printed_006_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4585
printed_006_rotated,EasyOCR,untuk adalah kalimat OCR. pengujian pertama coutol Ini,2.8201
printed_006_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5913
printed_007_blur,Tesseract,,0.5432
printed_007_blur,EasyOCR,oacooa 0,3.1478
printed_007_blur,PaddleOCR,iniadaiah contohkalmat pertamauntukpenguiar OCR.,0.7631
printed_007_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3319
printed_007_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.669
printed_007_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3596
printed_007_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3966
printed_007_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.8688
printed_007_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4845
printed_007_rotated,Tesseract,Ini adalah contoh Kalimat pertama untuk pengujian OCR.,0.6634
printed_007_rotated,EasyOCR,untuk adalah contoh kalimat OCR. pengujlan Pertama,2.8519
printed_007_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5764
printed_008_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian coca.,0.7164
printed_008_blur,EasyOCR,{6l Gaalan Coaron {ler Derran Carur Denqyjion Ocr :,3.3765
printed_008_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.547
printed_008_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.2942
printed_008_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR .,3.6789
printed_008_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.8788
printed_008_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4864
printed_008_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.8037
printed_008_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.6706
printed_008_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4987
printed_008_rotated,EasyOCR,ian kalimat Ini OCR. penguj untuk pertana contoh adalah,2.811
printed_008_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5596
printed_009_blur,Tesseract,Int edelen conten kalimat pertama watak pengujian,0.4863
printed_009_blur,EasyOCR,,2.478
printed_009_blur,PaddleOCR,Ini adalah conteh kalimat pertama untuk pengujian OC.R.,0.4482
printed_009_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.4589
printed_009_dark,EasyOCR,Ini adalah ccntch kalima pertama untuk pengujian OCR .,2.7795
printed_009_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6273
printed_009_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.4197
printed_009_normal,EasyOCR,In1 adalah catc: kalima pertama untuk pengujian OcR.,2.7132
printed_009_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.647
printed_009_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.3926
printed_009_rotated,EasyOCR,uncuk Penguj ian contoh kalima Pertama In1 adalah OCR.,2.3915
printed_009_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4862
printed_010_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.361
printed_010_blur,EasyOCR,Intodalah conton Bolimat portomguntuk ponoujon OCr,2.6204
printed_010_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3914
printed_010_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4416
printed_010_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.3912
printed_010_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4335
printed_010_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3433
printed_010_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5247
printed_010_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4558
printed_010_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3667
printed_010_rotated,EasyOCR,untuk Ini adalah contoh kalimat OCR. pengujian pertama,2.3752
printed_010_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3798
printed_011_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.467
printed_011_blur,EasyOCR,Intadalan conton Kalimat pertama untuk penquan OCR,2.5854
printed_011_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4508
printed_011_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4224
printed_011_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5206
printed_011_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4024
printed_011_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3863
printed_011_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5496
printed_011_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4315
printed_011_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4652
printed_011_rotated,EasyOCR,kalimat pertama Ini adalah OCR. pengujian untuk contoh,2.5825
printed_011_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6103
printed_012_blur,Tesseract,TN aah LAM Matana Pen ama ont peng ane,0.4231
printed_012_blur,EasyOCR,,2.1334
printed_012_blur,PaddleOCR,ini adalahcontoh kalimat pertama untuk pengujian OCR,0.3466
printed_012_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian ocr.,0.3306
printed_012_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.3656
printed_012_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4181
printed_012_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian ‘ocr.,0.5489
printed_012_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,5.0149
printed_012_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.804
printed_012_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6008
printed_012_rotated,EasyOCR,"Ini adalah contoh kalimat OCR. pengujian untuk pertama ,",3.1649
printed_012_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5047
printed_013_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4445
printed_013_blur,EasyOCR,In adalan Contoh Kalimal Pertana Unluk Penqvjian OCR .,2.9977
printed_013_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5409
printed_013_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4893
printed_013_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR _,2.4696
printed_013_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5899
printed_013_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4688
printed_013_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,3.0298
printed_013_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4502
printed_013_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5574
printed_013_rotated,EasyOCR,ian untuk contoh kalimat Ini adalah OCR penguj pertama,3.0905
printed_013_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6281
printed_014_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.4838
printed_014_blur,EasyOCR,Inlodalah contoh Kallmat portama untuk ponoullan OCR,2.3972
printed_014_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6813
printed_014_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4995
printed_014_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.9262
printed_014_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4321
printed_014_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4338
printed_014_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.695
printed_014_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4969
printed_014_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.648
printed_014_rotated,EasyOCR,untuk Ini adalah contoh kalimat OCR pengujian pertama,2.8443
printed_014_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5861
printed_015_blur,Tesseract,IN 2AMIN Conton tate at pertama untu penganan —.,0.4793
printed_015_blur,EasyOCR,Lcaaanconon OCe,2.8651
printed_015_blur,PaddleOCR,ini adalah conton kalmat pertamauntukpenguiar OCR.,0.5559
printed_015_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.364
printed_015_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.2737
printed_015_dark,PaddleOCR,Ini adalah contoh kalimatpertama untukpengujian OCR.,0.6931
printed_015_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4227
printed_015_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.4702
printed_015_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5423
printed_015_rotated,Tesseract,ini adalah contoh kalimat pertama untuk pengullan OCR.,0.5023
printed_015_rotated,EasyOCR,untuk pengujian adalah kalimat OCR. pertama contoh,2.9865
printed_015_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5186
printed_016_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian oa.,0.567
printed_016_blur,EasyOCR,{6l eeeee 8ee Unrur Denqyjian OCR,2.9387
printed_016_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5242
printed_016_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5787
printed_016_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.9951
printed_016_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.7079
printed_016_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3431
printed_016_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.3768
printed_016_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.6988
printed_016_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3823
printed_016_rotated,EasyOCR,ian contoh kalimat Ini adalah OCR. penguj untuk pertama,2.9654
printed_016_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4567
printed_017_blur,Tesseract,Itu adalah contoh kalunat pertama untuk pengujan,0.4617
printed_017_blur,EasyOCR,In eulab cquob Laluns oR,2.6248
printed_017_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.44
printed_017_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3815
printed_017_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.3651
printed_017_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5217
printed_017_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3949
printed_017_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.5128
printed_017_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3807
printed_017_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3455
printed_017_rotated,EasyOCR,untuk kalimat OCR pengujian Pertamna contoh adalah Ini,2.5982
printed_017_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.425
printed_018_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OcR.,0.5224
printed_018_blur,EasyOCR,1nl adalah Conloh Kalina{ Peftana Unluk Penqujian oRe,2.8509
printed_018_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4717
printed_018_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4357
printed_018_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.5213
printed_018_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6089
printed_018_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3362
printed_018_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.509
printed_018_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6324
printed_018_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.487
printed_018_rotated,EasyOCR,untuk pengujian contoh kalimat Ini ah OCR pertama adal,2.9507
printed_018_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5518
printed_019_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5286
printed_019_blur,EasyOCR,Int odalah contoh Kalmat patama untuk pengujuan OCR,2.52
printed_019_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3517
printed_019_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3757
printed_019_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.4726
printed_019_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3602
printed_019_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4165
printed_019_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.4685
printed_019_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3889
printed_019_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.434
printed_019_rotated,EasyOCR,adalah kalimat pertama Ini pengujian untuk contoh OCR,2.9684
printed_019_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4717
printed_020_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.4421
printed_020_blur,EasyOCR,Ios alab (Ooigb Aabuaiyn Peerine Oek,2.7514
printed_020_blur,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3897
printed_020_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4736
printed_020_dark,EasyOCR,Ini adalab contoh kalimat pertama untuk pengujian OCR_,2.5581
printed_020_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.5489
printed_020_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3699
printed_020_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,2.8888
printed_020_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4992
printed_020_rotated,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4153
printed_020_rotated,EasyOCR,untuk Ini adalah contoh kalimat OCR pengujian pertama,2.5247
printed_020_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujiar OCR.,0.5222
printed_021_blur,Tesseract,Sistem imi digunakan untuk membandingkan performa metode OCR.,0.4987
printed_021_blur,EasyOCR,Sistem ini dicunakan untuk membandinckan pertorma mclode OCR,2.7166
printed_021_blur,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,0.4595
printed_021_dark,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3811
printed_021_dark,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,2.6823
printed_021_dark,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4799
printed_021_normal,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4424
printed_021_normal,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,2.8087
printed_021_normal,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4683
printed_021_rotated,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4964
printed_021_rotated,EasyOCR,ini Ldigunakan untuk membandingkan Sistem OCR performa metode,2.5854
printed_021_rotated,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3735
printed_022_blur,Tesseract,a. 20 Ktu Tn mah sn dangh 20 pan ha ma 0. KN,0.4187
printed_022_blur,EasyOCR,(,2.3412
printed_022_blur,PaddleOCR,Sistem ini digunakanmtuk membandingkan perform metodeOCR,0.3579
printed_022_dark,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4217
printed_022_dark,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,2.4692
printed_022_dark,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3656
printed_022_normal,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3394
printed_022_normal,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,2.5939
printed_022_normal,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4217
printed_022_rotated,Tesseract,sistem ini digunakan untuk membandingkan performa metode OCR.,0.4799
printed_022_rotated,EasyOCR,membandingkan Sistem ini digunakan metode OCR performa untuk,2.6187
printed_022_rotated,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR,0.3284
printed_023_blur,Tesseract,,0.2771
printed_023_blur,EasyOCR,,2.2384
printed_023_blur,PaddleOCR,Sistem ani digunakan untuk membandingkan per forma,0.5185
printed_023_dark,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4643
printed_023_dark,EasyOCR,Sistem ini digunakan untuk membandingkan perfcrna metcde OCR,2.5583
printed_023_dark,PaddleOCR,sistem ini digunakan untuk membandingkan performa metodeocR.,0.598
printed_023_normal,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4236
printed_023_normal,EasyOCR,Sistem 111 digunakan untuk membandingkan perfcrma Ietcde OCR,2.7098
printed_023_normal,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metodeocR.,0.5665
printed_023_rotated,Tesseract,sistem ini digunakan untuk membandingkan performa metode OCR-,0.4455
printed_023_rotated,EasyOCR,Mem andingka? digunaka? S1stem metode OCR. Performa uaruk 192,2.5619
printed_023_rotated,PaddleOCR,sistem ini digunakan untuk membandingkan performe metodeocR.,0.5712
printed_024_blur,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4346
printed_024_blur,EasyOCR,sistcm ini digunakap unluk mcmbandinekap perlorn nclode oCK,2.8288
printed_024_blur,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4182
printed_024_dark,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4143
printed_024_dark,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,2.5575
printed_024_dark,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.398
printed_024_normal,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3526
printed_024_normal,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,2.3309
printed_024_normal,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metodeOCR.,0.4794
printed_024_rotated,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4184
printed_024_rotated,EasyOCR,ini I digunakan untuk membandingkan Sistemn metode OCR performa,2.7952
printed_024_rotated,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.4856
printed_025_blur,Tesseract,tanu enda enh amangn tan,0.4684
printed_025_blur,EasyOCR,,2.2474
printed_025_blur,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode-OcR,0.3643
printed_025_dark,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3757
printed_025_dark,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,2.4271
printed_025_dark,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3838
printed_025_normal,Tesseract,Sistem ini digunakan untuk membandingkan performa metode OCR.,0.3919
printed_025_normal,EasyOCR,Sistem ini digunakan untuk membandingkan performa metode OCR.,2.4411
printed_025_normal,PaddleOCR,Sistem ini digunakan untuk membandingkan performa metodeOCR.,0.3939
printed_025_rotated,Tesseract,sistem ini digunakan untuk membandingkan performa metode OCR.,0.5018
printed_025_rotated,EasyOCR,untuk membandingkan Sistem ini digunakan OCR. performa metode,2.3752
